Count of Customer.ID,Column Labels,,,,
Aimee Bixby,"$1,009.51",,,,
AB-101503,$648.25,,,,
Aimee Bixby,$648.25,,,,
AB-101504,$313.66,,,,
Aimee Bixby,$313.66,,,,
AB-101651,$578.78,,,,
Alan Barnes,$578.78,,,,
AB-101652,"$1,322.79",,,,
Alan Barnes,"$1,322.79",,,,
AB-101653,$207.08,,,,
Alan Barnes,$207.08,,,,
AB-101654,$220.81,,,,
Alan Barnes,$220.81,,,,
AB-102551,-$879.94,,,,
Alejandro Ballentine,-$879.94,,,,
AB-102552,$262.76,,,,
Alejandro Ballentine,$262.76,,,,
AB-102553,$309.38,,,,
Alejandro Ballentine,$309.38,,,,
AB-102554,$264.57,,,,
Alejandro Ballentine,$264.57,,,,
AB-1051,$10.41,,,,
Adrian Barton,$10.41,,,,
AB-1052,$25.02,,,,
Adrian Barton,$25.02,,,,
AB-1053,-$530.76,,,,
Adrian Barton,-$530.76,,,,
AB-106001,"$1,608.96",,,,
Ann Blume,"$1,608.96",,,,
AB-106002,-$503.30,,,,
Ann Blume,-$503.30,,,,
AB-106003,$74.66,,,,
Ann Blume,$74.66,,,,
AB-106004,-$274.96,,,,
Ann Blume,-$274.96,,,,
AB-1501,$862.14,,,,
Aimee Bixby,$862.14,,,,
AB-151,$386.64,,,,
Aaron Bergman,$386.64,,,,
AB-152,$577.08,,,,
Aaron Bergman,$577.08,,,,
AB-1651,$35.22,,,,
Alan Barnes,$35.22,,,,
AB-1652,$78.00,,,,
Alan Barnes,$78.00,,,,
AB-1653,-$6.62,,,,
Alan Barnes,-$6.62,,,,
AB-2551,$787.20,,,,
Alejandro Ballentine,$787.20,,,,
AB-2552,$57.96,,,,
Alejandro Ballentine,$57.96,,,,
AB-2553,-$43.31,,,,
Alejandro Ballentine,-$43.31,,,,
AB-6001,$253.56,,,,
Ann Blume,$253.56,,,,
AB-6002,$711.09,,,,
Ann Blume,$711.09,,,,
AB-601,$686.00,,,,
Adam Bellavance,$686.00,,,,
AB-602,-$220.08,,,,
Adam Bellavance,-$220.08,,,,
AC-104201,$709.75,,,,
Alyssa Crouse,$709.75,,,,
AC-104202,$214.28,,,,
Alyssa Crouse,$214.28,,,,
AC-104203,-$655.41,,,,
Alyssa Crouse,-$655.41,,,,
AC-104204,-$62.13,,,,
Alyssa Crouse,-$62.13,,,,
AC-104501,"$2,310.45",,,,
Amy Cox,"$2,310.45",,,,
AC-104502,$614.19,,,,
Amy Cox,$614.19,,,,
AC-104503,-$185.05,,,,
Amy Cox,-$185.05,,,,
AC-104504,"$1,366.01",,,,
Amy Cox,"$1,366.01",,,,
AC-106151,"$1,253.52",,,,
Ann Chong,"$1,253.52",,,,
AC-106152,-$394.92,,,,
Ann Chong,-$394.92,,,,
AC-106153,$3.25,,,,
Ann Chong,$3.25,,,,
AC-106154,$298.83,,,,
Ann Chong,$298.83,,,,
AC-106601,-$38.55,,,,
Anna Chung,-$38.55,,,,
AC-106602,-$87.88,,,,
Anna Chung,-$87.88,,,,
AC-106603,-$843.87,,,,
Anna Chung,-$843.87,,,,
AC-106604,-$28.70,,,,
Anna Chung,-$28.70,,,,
AC-4201,$150.16,,,,
Alyssa Crouse,$150.16,,,,
AC-4202,$87.40,,,,
Alyssa Crouse,$87.40,,,,
AC-4501,$81.78,,,,
Amy Cox,$81.78,,,,
AC-4502,$34.32,,,,
Amy Cox,$34.32,,,,
AC-4503,-$241.29,,,,
Amy Cox,-$241.29,,,,
AC-6151,-$438.86,,,,
Ann Chong,-$438.86,,,,
AC-6152,$158.31,,,,
Ann Chong,$158.31,,,,
AC-6601,$726.12,,,,
Anna Chung,$726.12,,,,
AC-6602,$0.75,,,,
Anna Chung,$0.75,,,,
AD-101801,-$25.88,,,,
Alan Dominguez,-$25.88,,,,
AD-101802,$119.88,,,,
Alan Dominguez,$119.88,,,,
AD-101803,$86.82,,,,
Alan Dominguez,$86.82,,,,
AD-101804,"$1,869.93",,,,
Alan Dominguez,"$1,869.93",,,,
AD-1801,$3.45,,,,
Alan Dominguez,$3.45,,,,
AD-1802,-$514.21,,,,
Alan Dominguez,-$514.21,,,,
AF-108701,-$411.63,,,,
Art Ferguson,-$411.63,,,,
AF-108702,-$172.30,,,,
Art Ferguson,-$172.30,,,,
AF-108703,"$2,002.03",,,,
Art Ferguson,"$2,002.03",,,,
AF-108704,$317.97,,,,
Art Ferguson,$317.97,,,,
AF-108851,"$1,099.40",,,,
Art Foster,"$1,099.40",,,,
AF-108852,$921.48,,,,
Art Foster,$921.48,,,,
AF-108853,"$1,025.16",,,,
Art Foster,"$1,025.16",,,,
AF-108854,-$163.12,,,,
Art Foster,-$163.12,,,,
AF-8701,$201.33,,,,
Art Ferguson,$201.33,,,,
AF-8702,$43.80,,,,
Art Ferguson,$43.80,,,,
AF-8703,$297.10,,,,
Art Ferguson,$297.10,,,,
AF-8851,$32.46,,,,
Art Foster,$32.46,,,,
AF-8852,$55.86,,,,
Art Foster,$55.86,,,,
AG-102701,$891.40,,,,
Alejandro Grove,$891.40,,,,
AG-102702,$249.21,,,,
Alejandro Grove,$249.21,,,,
AG-102703,$278.65,,,,
Alejandro Grove,$278.65,,,,
AG-102704,$732.74,,,,
Alejandro Grove,$732.74,,,,
AG-103001,$385.78,,,,
Aleksandra Gannaway,$385.78,,,,
AG-103002,"$1,280.60",,,,
Aleksandra Gannaway,"$1,280.60",,,,
AG-103003,$120.10,,,,
Aleksandra Gannaway,$120.10,,,,
AG-103004,$59.29,,,,
Aleksandra Gannaway,$59.29,,,,
AG-103301,$259.66,,,,
Alex Grayson,$259.66,,,,
AG-103302,$661.54,,,,
Alex Grayson,$661.54,,,,
AG-103303,$13.40,,,,
Alex Grayson,$13.40,,,,
AG-103304,-$5.14,,,,
Alex Grayson,-$5.14,,,,
AG-103901,$377.23,,,,
Allen Goldenen,$377.23,,,,
AG-103902,$28.84,,,,
Allen Goldenen,$28.84,,,,
AG-103903,$520.39,,,,
Allen Goldenen,$520.39,,,,
AG-103904,$69.28,,,,
Allen Goldenen,$69.28,,,,
AG-104951,$463.53,,,,
Andrew Gjertsen,$463.53,,,,
AG-104952,"$1,669.55",,,,
Andrew Gjertsen,"$1,669.55",,,,
AG-104953,$320.31,,,,
Andrew Gjertsen,$320.31,,,,
AG-104954,$295.67,,,,
Andrew Gjertsen,$295.67,,,,
AG-105251,$13.26,,,,
Andy Gerbode,$13.26,,,,
AG-105252,$151.72,,,,
Andy Gerbode,$151.72,,,,
AG-105253,$23.82,,,,
Andy Gerbode,$23.82,,,,
AG-105254,-$152.76,,,,
Andy Gerbode,-$152.76,,,,
AG-106751,$360.43,,,,
Anna Gayman,$360.43,,,,
AG-106752,$206.21,,,,
Anna Gayman,$206.21,,,,
AG-106753,$360.58,,,,
Anna Gayman,$360.58,,,,
AG-106754,-$246.43,,,,
Anna Gayman,-$246.43,,,,
AG-107651,$93.21,,,,
Anthony Garverick,$93.21,,,,
AG-107652,$110.80,,,,
Anthony Garverick,$110.80,,,,
AG-107653,"$1,055.00",,,,
Anthony Garverick,"$1,055.00",,,,
AG-107654,-$8.43,,,,
Anthony Garverick,-$8.43,,,,
AG-109001,$359.28,,,,
Arthur Gainer,$359.28,,,,
AG-109002,$551.18,,,,
Arthur Gainer,$551.18,,,,
AG-109003,$625.63,,,,
Arthur Gainer,$625.63,,,,
AG-109004,$343.68,,,,
Arthur Gainer,$343.68,,,,
AG-2701,$232.11,,,,
Alejandro Grove,$232.11,,,,
AG-2702,$55.44,,,,
Alejandro Grove,$55.44,,,,
AG-2703,$163.03,,,,
Alejandro Grove,$163.03,,,,
AG-3001,-$802.45,,,,
Aleksandra Gannaway,-$802.45,,,,
AG-3002,-$270.17,,,,
Aleksandra Gannaway,-$270.17,,,,
AG-3301,$74.21,,,,
Alex Grayson,$74.21,,,,
AG-3302,$3.30,,,,
Alex Grayson,$3.30,,,,
AG-3901,-$504.77,,,,
Allen Goldenen,-$504.77,,,,
AG-3902,-$43.70,,,,
Allen Goldenen,-$43.70,,,,
AG-4951,$48.66,,,,
Andrew Gjertsen,$48.66,,,,
AG-4952,$9.15,,,,
Andrew Gjertsen,$9.15,,,,
AG-4953,-$164.66,,,,
Andrew Gjertsen,-$164.66,,,,
AG-5251,-$211.64,,,,
Andy Gerbode,-$211.64,,,,
AG-5252,$345.00,,,,
Andy Gerbode,$345.00,,,,
AG-6751,-$318.02,,,,
Anna Gayman,-$318.02,,,,
AG-6752,$560.29,,,,
Anna Gayman,$560.29,,,,
AG-7651,-$891.06,,,,
Anthony Garverick,-$891.06,,,,
AG-7652,-$184.22,,,,
Anthony Garverick,-$184.22,,,,
AG-9001,-$146.52,,,,
Arthur Gainer,-$146.52,,,,
AH-100301,$911.40,,,,
Aaron Hawkins,$911.40,,,,
AH-100302,$981.59,,,,
Aaron Hawkins,$981.59,,,,
AH-100303,$343.22,,,,
Aaron Hawkins,$343.22,,,,
AH-100304,$365.22,,,,
Aaron Hawkins,$365.22,,,,
AH-100751,-$928.87,,,,
Adam Hart,-$928.87,,,,
AH-100752,$528.41,,,,
Adam Hart,$528.41,,,,
AH-100753,"$1,105.31",,,,
Adam Hart,"$1,105.31",,,,
AH-100754,$281.19,,,,
Adam Hart,$281.19,,,,
AH-101201,$28.51,,,,
Adrian Hane,$28.51,,,,
AH-101202,$905.51,,,,
Adrian Hane,$905.51,,,,
AH-101203,$773.43,,,,
Adrian Hane,$773.43,,,,
AH-101204,-$2.31,,,,
Adrian Hane,-$2.31,,,,
AH-101951,-$308.28,,,,
Alan Haines,-$308.28,,,,
AH-101952,$391.05,,,,
Alan Haines,$391.05,,,,
AH-101953,$454.69,,,,
Alan Haines,$454.69,,,,
AH-101954,-$378.55,,,,
Alan Haines,-$378.55,,,,
AH-102101,$271.98,,,,
Alan Hwang,$271.98,,,,
AH-102102,"$1,478.28",,,,
Alan Hwang,"$1,478.28",,,,
AH-102103,"$1,080.85",,,,
Alan Hwang,"$1,080.85",,,,
AH-102104,"$1,308.55",,,,
Alan Hwang,"$1,308.55",,,,
AH-104651,$314.89,,,,
Amy Hunt,$314.89,,,,
AH-104652,$59.75,,,,
Amy Hunt,$59.75,,,,
AH-104653,$433.37,,,,
Amy Hunt,$433.37,,,,
AH-104654,-$196.12,,,,
Amy Hunt,-$196.12,,,,
AH-105851,"$1,046.58",,,,
Angele Hood,"$1,046.58",,,,
AH-105852,$437.33,,,,
Angele Hood,$437.33,,,,
AH-105853,-$109.52,,,,
Angele Hood,-$109.52,,,,
AH-105854,$83.96,,,,
Angele Hood,$83.96,,,,
AH-106901,$552.99,,,,
Anna Häberlin,$552.99,,,,
AH-106902,$790.01,,,,
Anna Häberlin,$790.01,,,,
AH-106903,$154.83,,,,
Anna Häberlin,$154.83,,,,
AH-106904,"$1,298.02",,,,
Anna Häberlin,"$1,298.02",,,,
AH-1201,$379.62,,,,
Adrian Hane,$379.62,,,,
AH-1202,-$3.38,,,,
Adrian Hane,-$3.38,,,,
AH-1951,-$99.29,,,,
Alan Haines,-$99.29,,,,
AH-1952,$29.70,,,,
Alan Haines,$29.70,,,,
AH-1953,-$681.56,,,,
Alan Haines,-$681.56,,,,
AH-2101,$423.60,,,,
Alan Hwang,$423.60,,,,
AH-2102,-$220.89,,,,
Alan Hwang,-$220.89,,,,
AH-301,-$576.62,,,,
Aaron Hawkins,-$576.62,,,,
AH-302,$426.12,,,,
Aaron Hawkins,$426.12,,,,
AH-4651,$129.84,,,,
Amy Hunt,$129.84,,,,
AH-4652,-$23.39,,,,
Amy Hunt,-$23.39,,,,
AH-5851,$416.67,,,,
Angele Hood,$416.67,,,,
AH-5852,-$264.95,,,,
Angele Hood,-$264.95,,,,
AH-6901,-$492.61,,,,
Anna Häberlin,-$492.61,,,,
AH-6902,$162.78,,,,
Anna Häberlin,$162.78,,,,
AH-751,$842.31,,,,
Adam Hart,$842.31,,,,
AH-752,$54.90,,,,
Adam Hart,$54.90,,,,
AH-753,$18.78,,,,
Adam Hart,$18.78,,,,
AI-108551,$266.59,,,,
Arianne Irving,$266.59,,,,
AI-108552,$473.18,,,,
Arianne Irving,$473.18,,,,
AI-108553,$5.26,,,,
Arianne Irving,$5.26,,,,
AI-108554,$867.73,,,,
Arianne Irving,$867.73,,,,
AI-8551,$4.83,,,,
Arianne Irving,$4.83,,,,
AI-8552,-$79.42,,,,
Arianne Irving,-$79.42,,,,
AJ-107801,$988.01,,,,
Anthony Jacobs,$988.01,,,,
AJ-107802,$576.25,,,,
Anthony Jacobs,$576.25,,,,
AJ-107803,$69.27,,,,
Anthony Jacobs,$69.27,,,,
AJ-107804,$150.71,,,,
Anthony Jacobs,$150.71,,,,
AJ-107951,$209.39,,,,
Anthony Johnson,$209.39,,,,
AJ-107952,$384.97,,,,
Anthony Johnson,$384.97,,,,
AJ-107953,$108.03,,,,
Anthony Johnson,$108.03,,,,
AJ-107954,"$1,158.71",,,,
Anthony Johnson,"$1,158.71",,,,
AJ-109451,$395.51,,,,
Ashley Jarboe,$395.51,,,,
AJ-109452,$945.83,,,,
Ashley Jarboe,$945.83,,,,
AJ-109453,-$294.84,,,,
Ashley Jarboe,-$294.84,,,,
AJ-109454,$521.14,,,,
Ashley Jarboe,$521.14,,,,
AJ-109601,$135.91,,,,
Astrea Jones,$135.91,,,,
AJ-109602,$914.07,,,,
Astrea Jones,$914.07,,,,
AJ-109603,$408.27,,,,
Astrea Jones,$408.27,,,,
AJ-109604,$60.43,,,,
Astrea Jones,$60.43,,,,
AJ-7801,-$811.60,,,,
Anthony Jacobs,-$811.60,,,,
AJ-7802,$6.81,,,,
Anthony Jacobs,$6.81,,,,
AJ-7803,$192.78,,,,
Anthony Jacobs,$192.78,,,,
AJ-7951,$160.32,,,,
Anthony Johnson,$160.32,,,,
AJ-7952,$457.17,,,,
Anthony Johnson,$457.17,,,,
AJ-9451,"$1,272.98",,,,
Ashley Jarboe,"$1,272.98",,,,
AJ-9452,$166.08,,,,
Ashley Jarboe,$166.08,,,,
AJ-9601,"$1,417.22",,,,
Astrea Jones,"$1,417.22",,,,
AJ-9602,-$404.53,,,,
Astrea Jones,-$404.53,,,,
AM-103601,$291.96,,,,
Alice McCarthy,$291.96,,,,
AM-103602,"$2,375.50",,,,
Alice McCarthy,"$2,375.50",,,,
AM-103603,-$113.97,,,,
Alice McCarthy,-$113.97,,,,
AM-103604,$194.99,,,,
Alice McCarthy,$194.99,,,,
AM-107051,-$250.29,,,,
Anne McFarland,-$250.29,,,,
AM-107052,"$1,797.75",,,,
Anne McFarland,"$1,797.75",,,,
AM-107053,$95.45,,,,
Anne McFarland,$95.45,,,,
AM-107054,"$1,085.73",,,,
Anne McFarland,"$1,085.73",,,,
AM-3601,-$94.68,,,,
Alice McCarthy,-$94.68,,,,
AM-3602,$324.06,,,,
Alice McCarthy,$324.06,,,,
AM-7051,$297.96,,,,
Anne McFarland,$297.96,,,,
AM-7052,$9.72,,,,
Anne McFarland,$9.72,,,,
AM-7053,$202.26,,,,
Anne McFarland,$202.26,,,,
AO-108101,-$88.95,,,,
Anthony O'Donnell,-$88.95,,,,
AO-108102,$786.61,,,,
Anthony O'Donnell,$786.61,,,,
AO-108103,$318.64,,,,
Anthony O'Donnell,$318.64,,,,
AO-108104,$12.10,,,,
Anthony O'Donnell,$12.10,,,,
AO-8101,-$32.46,,,,
Anthony O'Donnell,-$32.46,,,,
AO-8102,$90.21,,,,
Anthony O'Donnell,$90.21,,,,
AO-8103,$6.96,,,,
Anthony O'Donnell,$6.96,,,,
AP-107201,"$1,631.82",,,,
Anne Pryor,"$1,631.82",,,,
AP-107202,$324.60,,,,
Anne Pryor,$324.60,,,,
AP-107203,$695.25,,,,
Anne Pryor,$695.25,,,,
AP-107204,$285.79,,,,
Anne Pryor,$285.79,,,,
AP-109151,"$1,413.63",,,,
Arthur Prichep,"$1,413.63",,,,
AP-109152,-$0.96,,,,
Arthur Prichep,-$0.96,,,,
AP-109153,$428.12,,,,
Arthur Prichep,$428.12,,,,
AP-109154,$579.31,,,,
Arthur Prichep,$579.31,,,,
AP-7201,$119.68,,,,
Anne Pryor,$119.68,,,,
AP-7202,-$64.38,,,,
Anne Pryor,-$64.38,,,,
AP-9151,$685.05,,,,
Arthur Prichep,$685.05,,,,
AP-9152,$32.46,,,,
Arthur Prichep,$32.46,,,,
AR-103451,"$1,030.91",,,,
Alex Russell,"$1,030.91",,,,
AR-103452,$771.62,,,,
Alex Russell,$771.62,,,,
AR-103453,$102.45,,,,
Alex Russell,$102.45,,,,
AR-103454,-$221.05,,,,
Alex Russell,-$221.05,,,,
AR-104051,-$425.53,,,,
Allen Rosenblatt,-$425.53,,,,
AR-104052,-$231.96,,,,
Allen Rosenblatt,-$231.96,,,,
AR-104053,$172.77,,,,
Allen Rosenblatt,$172.77,,,,
AR-104054,-$98.76,,,,
Allen Rosenblatt,-$98.76,,,,
AR-105101,"$2,109.06",,,,
Andrew Roberts,"$2,109.06",,,,
AR-105102,"$1,173.99",,,,
Andrew Roberts,"$1,173.99",,,,
AR-105103,$192.24,,,,
Andrew Roberts,$192.24,,,,
AR-105104,$43.67,,,,
Andrew Roberts,$43.67,,,,
AR-105401,$145.05,,,,
Andy Reiter,$145.05,,,,
AR-105402,$1.50,,,,
Andy Reiter,$1.50,,,,
AR-105403,$19.74,,,,
Andy Reiter,$19.74,,,,
AR-105404,"$2,884.62",,,,
Andy Reiter,"$2,884.62",,,,
AR-105701,$929.76,,,,
Anemone Ratner,$929.76,,,,
AR-105702,$262.18,,,,
Anemone Ratner,$262.18,,,,
AR-105703,$360.26,,,,
Anemone Ratner,$360.26,,,,
AR-105704,$32.63,,,,
Anemone Ratner,$32.63,,,,
AR-108251,$223.88,,,,
Anthony Rawles,$223.88,,,,
AR-108252,"$1,978.17",,,,
Anthony Rawles,"$1,978.17",,,,
AR-108253,$131.22,,,,
Anthony Rawles,$131.22,,,,
AR-108254,$494.84,,,,
Anthony Rawles,$494.84,,,,
AR-3451,$230.64,,,,
Alex Russell,$230.64,,,,
AR-3452,$376.09,,,,
Alex Russell,$376.09,,,,
AR-4051,$25.86,,,,
Allen Rosenblatt,$25.86,,,,
AR-4052,$5.34,,,,
Allen Rosenblatt,$5.34,,,,
AR-5101,$148.89,,,,
Andrew Roberts,$148.89,,,,
AR-5102,-$106.09,,,,
Andrew Roberts,-$106.09,,,,
AR-5401,$108.66,,,,
Andy Reiter,$108.66,,,,
AR-5402,-$20.49,,,,
Andy Reiter,-$20.49,,,,
AR-5701,$242.82,,,,
Anemone Ratner,$242.82,,,,
AR-5702,$167.00,,,,
Anemone Ratner,$167.00,,,,
AR-8251,$318.52,,,,
Anthony Rawles,$318.52,,,,
AR-8252,-$28.97,,,,
Anthony Rawles,-$28.97,,,,
AS-100451,$257.63,,,,
Aaron Smayling,$257.63,,,,
AS-100452,$421.93,,,,
Aaron Smayling,$421.93,,,,
AS-100453,$234.94,,,,
Aaron Smayling,$234.94,,,,
AS-100454,-$253.57,,,,
Aaron Smayling,-$253.57,,,,
AS-100901,$208.88,,,,
Adam Shillingsburg,$208.88,,,,
AS-100902,$330.16,,,,
Adam Shillingsburg,$330.16,,,,
AS-100903,$741.38,,,,
Adam Shillingsburg,$741.38,,,,
AS-100904,$64.54,,,,
Adam Shillingsburg,$64.54,,,,
AS-101351,$515.82,,,,
Adrian Shami,$515.82,,,,
AS-101352,$340.82,,,,
Adrian Shami,$340.82,,,,
AS-101353,-$128.19,,,,
Adrian Shami,-$128.19,,,,
AS-101354,$21.85,,,,
Adrian Shami,$21.85,,,,
AS-102251,"$1,572.65",,,,
Alan Schoenberger,"$1,572.65",,,,
AS-102252,$402.35,,,,
Alan Schoenberger,$402.35,,,,
AS-102253,$23.88,,,,
Alan Schoenberger,$23.88,,,,
AS-102254,$719.78,,,,
Alan Schoenberger,$719.78,,,,
AS-102401,$341.46,,,,
Alan Shonely,$341.46,,,,
AS-102402,-$49.38,,,,
Alan Shonely,-$49.38,,,,
AS-102403,$304.59,,,,
Alan Shonely,$304.59,,,,
AS-102404,$33.72,,,,
Alan Shonely,$33.72,,,,
AS-102851,$835.57,,,,
Alejandro Savely,$835.57,,,,
AS-102852,$321.94,,,,
Alejandro Savely,$321.94,,,,
AS-102853,$282.73,,,,
Alejandro Savely,$282.73,,,,
AS-102854,$354.63,,,,
Alejandro Savely,$354.63,,,,
AS-106301,"$2,496.04",,,,
Ann Steele,"$2,496.04",,,,
AS-106302,$539.57,,,,
Ann Steele,$539.57,,,,
AS-106303,$22.26,,,,
Ann Steele,$22.26,,,,
AS-106304,$136.49,,,,
Ann Steele,$136.49,,,,
AS-1351,$26.10,,,,
Adrian Shami,$26.10,,,,
AS-1352,$788.10,,,,
Adrian Shami,$788.10,,,,
AS-2251,-$244.31,,,,
Alan Schoenberger,-$244.31,,,,
AS-2252,$4.14,,,,
Alan Schoenberger,$4.14,,,,
AS-2253,$25.14,,,,
Alan Schoenberger,$25.14,,,,
AS-2401,$1.44,,,,
Alan Shonely,$1.44,,,,
AS-2402,$543.63,,,,
Alan Shonely,$543.63,,,,
AS-2851,$515.59,,,,
Alejandro Savely,$515.59,,,,
AS-2852,$223.11,,,,
Alejandro Savely,$223.11,,,,
AS-451,$98.73,,,,
Aaron Smayling,$98.73,,,,
AS-452,-$390.49,,,,
Aaron Smayling,-$390.49,,,,
AS-6301,"-$1,014.67",,,,
Ann Steele,"-$1,014.67",,,,
AS-6302,-$88.64,,,,
Ann Steele,-$88.64,,,,
AS-901,$76.31,,,,
Adam Shillingsburg,$76.31,,,,
AT-104351,$502.08,,,,
Alyssa Tate,$502.08,,,,
AT-104352,"$1,570.79",,,,
Alyssa Tate,"$1,570.79",,,,
AT-104353,$843.15,,,,
Alyssa Tate,$843.15,,,,
AT-104354,$100.88,,,,
Alyssa Tate,$100.88,,,,
AT-107351,$778.53,,,,
Annie Thurman,$778.53,,,,
AT-107352,$736.38,,,,
Annie Thurman,$736.38,,,,
AT-107353,$27.68,,,,
Annie Thurman,$27.68,,,,
AT-107354,$974.11,,,,
Annie Thurman,$974.11,,,,
AT-4351,$102.90,,,,
Alyssa Tate,$102.90,,,,
AT-4352,-$324.27,,,,
Alyssa Tate,-$324.27,,,,
AT-7351,$4.38,,,,
Annie Thurman,$4.38,,,,
